date,open,high,low,close,volume
2023-01-30,3.7191,3.7191,3.674,3.689,19332329.0
2023-01-31,3.689,3.7341,3.6064,3.6214,23751641.0
2023-02-01,3.6665,3.6966,3.6289,3.674,14718529.0
2023-02-02,3.7041,3.7191,3.644,3.659,14263941.0
2023-02-03,3.659,3.6665,3.5463,3.6139,23030728.0
2023-02-06,3.5839,3.5839,3.5313,3.5613,10297382.0
2023-02-07,3.5538,3.5688,3.5087,3.5162,11324949.0
2023-02-08,3.5463,3.5914,3.5237,3.5613,17147502.0
2023-02-09,3.5313,3.5763,3.5237,3.5688,17303134.0
2023-02-10,3.5313,3.6139,3.5237,3.5388,20259688.0
2023-02-13,3.5388,3.5463,3.5012,3.5237,9538021.0
2023-02-14,3.5613,3.5914,3.5237,3.5388,11899109.0
2023-02-15,3.5388,3.5538,3.4937,3.5087,13423814.0
2023-02-16,3.5313,3.5613,3.4561,3.4712,13301899.0
2023-02-17,3.4787,3.5688,3.4636,3.5162,16193535.0
2023-02-20,3.5162,3.5989,3.5012,3.5613,12691764.0
2023-02-21,3.5538,3.6064,3.5313,3.5463,12089240.0
2023-02-22,3.5463,3.5613,3.5012,3.5313,19586632.0
2023-02-23,3.5388,3.5914,3.5237,3.5538,16255800.0
2023-02-24,3.5313,3.5463,3.4787,3.5313,15400855.0
2023-02-27,3.5162,3.5463,3.4937,3.5087,8813937.0
2023-02-28,3.5388,3.5688,3.4261,3.4261,28305082.0
2023-03-01,3.4186,3.5989,3.4186,3.5763,13464129.0
2023-03-02,3.5538,3.6515,3.5538,3.6214,20333738.0
2023-03-03,3.6214,3.644,3.5613,3.5688,10589594.0
2023-03-06,3.5463,3.6139,3.5463,3.5914,8692251.0
2023-03-07,3.5613,3.6815,3.5613,3.5989,13380585.0
2023-03-08,3.5763,3.5989,3.4561,3.4636,10740459.0
2023-03-09,3.4636,3.4937,3.4336,3.4486,10717208.0
2023-03-10,3.4186,3.4336,3.3509,3.3585,15418415.0
2023-03-13,3.3585,3.4486,3.3509,3.4486,9467780.0
2023-03-14,3.4411,3.5162,3.396,3.4261,11833473.0
2023-03-15,3.4561,3.4937,3.396,3.4336,17760221.0
2023-03-16,3.4336,3.4336,3.3284,3.3434,12308085.0
2023-03-17,3.396,3.4035,3.3284,3.396,23142740.0
2023-03-20,3.4261,3.4261,3.2908,3.3209,9144082.0
2023-03-21,3.3209,3.3359,3.2908,3.3209,12434952.0
2023-03-22,3.3209,3.381,3.3134,3.3359,9753372.0
2023-03-23,3.3735,3.381,3.3359,3.3735,10011819.0
2023-03-24,3.3509,3.396,3.3284,3.3509,8600719.0
2023-03-27,3.3735,3.396,3.2758,3.366,11577912.0
2023-03-28,3.3735,3.396,3.3284,3.3585,10114646.0
2023-03-29,3.381,3.4411,3.3434,3.366,18349082.0
2023-03-30,3.3434,3.4336,3.3434,3.4186,15088641.0
2023-03-31,3.4336,3.5688,3.4336,3.5162,27581530.0
2023-04-03,3.5237,3.5463,3.4862,3.5087,17477093.0
2023-04-04,3.5313,3.5613,3.5087,3.5538,11121462.0
2023-04-06,3.5538,3.6139,3.5162,3.6064,14850472.0
2023-04-11,3.674,3.674,3.5162,3.5313,17068521.0
2023-04-12,3.5613,3.5763,3.5162,3.5538,18652737.0
2023-04-13,3.5313,3.5613,3.5012,3.5313,25962484.0
2023-04-14,3.5313,3.5463,3.4937,3.5087,16405533.0
2023-04-17,3.4937,3.5237,3.4561,3.5012,20644550.0
2023-04-18,3.4712,3.5388,3.3885,3.5237,27425637.0
2023-04-19,3.5313,3.5313,3.4486,3.4561,18098869.0
2023-04-20,3.4937,3.5012,3.4486,3.4787,10336515.0
2023-04-21,3.4787,3.5087,3.4035,3.4486,27792468.0
2023-04-24,3.4561,3.4712,3.396,3.4186,12528169.0
2023-04-25,3.411,3.4561,3.3434,3.3434,20948303.0
2023-04-26,3.3434,3.3735,3.2908,3.3284,50699403.0
2023-04-27,3.3209,3.3359,3.2608,3.2683,25433952.0
2023-04-28,3.2683,3.3059,3.2307,3.2758,26300799.0
2023-05-02,3.2758,3.3284,3.2458,3.3059,17004441.0
2023-05-03,3.2683,3.2983,3.2458,3.2608,12075667.0
2023-05-04,3.2608,3.3434,3.2608,3.3359,16068454.0
2023-05-05,3.3359,3.366,3.3209,3.3284,14082387.0
2023-05-08,3.3359,3.366,3.3134,3.3434,17763261.0
2023-05-09,3.3134,3.3509,3.2758,3.2833,15283248.0
2023-05-10,3.3059,3.3059,3.2458,3.2458,9676967.0
2023-05-11,3.2458,3.2458,3.1932,3.2007,16903124.0
2023-05-12,3.2007,3.2307,3.1631,3.1631,20629002.0
2023-05-15,3.1706,3.2608,3.1706,3.2307,12933226.0
2023-05-16,3.2307,3.2458,3.1932,3.2007,18621561.0
2023-05-17,3.1932,3.2082,3.1556,3.1631,14225547.0
2023-05-18,3.2082,3.2082,3.1556,3.1706,8143232.0
2023-05-19,3.1631,3.1856,3.1331,3.1556,14295568.0
2023-05-22,3.1706,3.2608,3.1706,3.2458,14406587.0
2023-05-23,3.2683,3.2758,3.2307,3.2533,14456389.0
2023-05-24,3.2533,3.2683,3.2082,3.2307,33437526.0
2023-05-25,3.2082,3.2157,3.0955,3.1406,43071928.0
2023-05-29,3.1406,3.2007,3.103,3.1105,14420696.0
2023-05-30,3.1706,3.1706,3.0805,3.118,11828017.0
2023-05-31,3.0654,3.103,3.0279,3.0729,40421771.0
2023-06-01,3.088,3.118,2.9678,2.9978,54508753.0
2023-06-02,3.0729,3.1706,3.0504,3.1255,43157730.0
2023-06-05,3.1556,3.1856,3.103,3.1331,19244817.0
2023-06-06,3.1406,3.2007,3.1255,3.1556,13028045.0
2023-06-07,3.1631,3.1932,3.1331,3.1706,22738808.0
2023-06-08,3.1481,3.2382,3.1481,3.2157,18914011.0
2023-06-09,3.2237,3.2875,3.2157,3.2716,16903248.0
2023-06-12,3.2795,3.3354,3.2396,3.3035,10612050.0
2023-06-13,3.3035,3.3593,3.2476,3.3514,16166080.0
2023-06-14,3.3593,3.4072,3.3115,3.3115,9942921.0
2023-06-15,3.3354,3.3753,3.2955,3.3673,8984020.0
2023-06-16,3.3593,3.4551,3.3593,3.4391,24644468.0
2023-06-19,3.4471,3.4471,3.3753,3.3992,8698114.0
2023-06-20,3.3673,3.4072,3.3274,3.3753,6471148.0
2023-06-21,3.3115,3.3753,3.2955,3.3593,12605952.0
2023-06-23,3.3514,3.3673,3.2875,3.3514,15303499.0
2023-06-26,3.3753,3.3833,3.3115,3.3354,15993766.0
2023-06-27,3.3194,3.3992,3.3115,3.3673,15460959.0
2023-06-28,3.3673,3.4152,3.3514,3.3833,13027832.0
2023-06-29,3.3833,3.3992,3.2716,3.2875,21217205.0
2023-06-30,3.2795,3.3354,3.2476,3.3115,14691865.0
2023-07-03,3.3115,3.3434,3.3115,3.3274,10260584.0
2023-07-04,3.3354,3.3514,3.2955,3.3354,8830658.0
2023-07-05,3.3514,3.3514,3.2716,3.2875,9820695.0
2023-07-06,3.2795,3.2795,3.1598,3.1838,26728879.0
2023-07-07,3.1838,3.2556,3.1678,3.1758,15408059.0
2023-07-10,3.2556,3.3434,3.2556,3.3194,23595488.0
2023-07-11,3.3354,3.3434,3.2396,3.2636,14557105.0
2023-07-12,3.2636,3.2795,3.1997,3.2317,11571440.0
2023-07-13,3.2476,3.3115,3.2476,3.3115,12128597.0
2023-07-14,3.3035,3.3274,3.2795,3.2955,9686647.0
2023-07-18,3.2875,3.2955,3.2157,3.2317,14932922.0
2023-07-19,3.1838,3.2317,3.1678,3.2157,16525582.0
2023-07-20,3.2237,3.2476,3.1918,3.2077,26089185.0
2023-07-21,3.2077,3.2396,3.1758,3.2077,13387749.0
2023-07-24,3.1918,3.2077,3.1439,3.1678,12377122.0
2023-07-25,3.1997,3.2795,3.1918,3.2636,16960868.0
