SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004020999,非流动负债合计,138652007000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004025999,总负债,225309682000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004027999,少数股东权益,45120575000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004028999,净资产,100271114000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004030001,股本,24508986000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004030002,储备,15322134000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004030015,其他权益工具,15319419000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004030999,股东权益,55150539000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004036999,总权益,100271114000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004037999,总权益及非流动负债,238923121000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004039999,总权益及总负债,325580796000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004060999,非运算项目,39831120000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,202555694000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001004,无形资产,16135447000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001005,商誉,1240558000.0,2023-12-31 00:00:00
